"code","name"
"100CLTC ","Coastal Terrace Deposits"
"100CLVM ","Colluvium"
"100CNTL ","Cenezoic continental deposit"
"100CNZC ","Cenozoic Erathem"
"100CZMZ ","Cenozoic-Mesozoic Erathems"
"100FILL ","Fill"
"100GVWWO","Gravel of Walla Walla, Older"
"100ILRK ","Ilyirak Gravel"
"100LFVR ","Las Feveras Formation"
"100LMSN ","Limestone"
"100MRIN ","Cenezoic marine deposits"
"100NLJN ","Nellie Juan Granite"
"100PCOS ","Pecosian Series"
"100PNCL ","Ponchatoula Aquifer, Undifferentiated"
"100PRLF ","Pre-Caldera Volcanic Rocks, Lava Flows"
"100PRPH ","Plio-Pleistocene, Post-Ringold-Pre-Hanford Formations"
"100PRPY ","Pre-Caldera Volcanic Rocks, Pyroclastic Deposits"
"100PRVC ","Pre-Caldera Volcanic Rocks, Undifferentiated"
"100PSLF ","Post-Caldera Volcanic Rocks, Lava Flows"
"100PSPY ","Post-Caldera Volcanic Rocks, Pyroclastic Deposits"
"100PSVC ","Post-Caldera Volcanic Rocks, Undifferentiated"
"100RFID ","Reef-Island Limestone"
"100RGLT ","Regolith"
"100RRFB ","Raised Reef and Beach Deposits"
"100RSDM ","Residuum"
"100SCMV ","Sacramento Valley Aquifer"
"100SDGV ","Sand and Gravel Aquifer"
"100SGVK ","Saligvik Gravel"
"100SPRL ","Saprolite"
"100TRNS ","Transition Zone"
"100VCLF ","Volcanic Rocks, Lava Flows, Undifferentiated"
"100VCSM ","Volcanic Rock, Pyroclastic Deposits and Associated Sedimentary Deposit"
"100VFRV ","Valley-Fill Reservoir"
"100VLCC ","Volcanic Rocks"
"100VLFL ","Valley Fill"
"100WLCV ","Williwaw Cove Formation"
"104LCMV ","Locomotive Fanglomerate, Mid-Cenozoic"
"104SLMK ","Silmurk Formation, Mid-Cenozoic"
"110A    ","A-Clay"
"110ABDC ","Alluvial Channel and Plain Deposits, Ogallala Formation, and Dockum Gr"
"110ACOD ","Alluvial, Channel and Plain Deposits, Ogallala Formation and Dockum Gr"
"110ACPA ","Alluvial Channel and Plain Deposits, and Artesia Group"
"110ACPD ","Alluvial Channel and Plain Deposits, and Dockum Group"
"110ACPO ","Alluvial Channel and Plain Deposits, and Ochoa Series"
"110ACSR ","Alluvium, Cretaceous Rocks and Santa Rosa Sandstone"
"110ADCB ","Alluvial Terrace and Channel Deposits, Dog Creek Shale, Blaine Gypsum"
"110AFCL ","Artifical Fill"
"110AFTA ","Alluvium, Fluvial Terrace Deposits, and Artesia Group"
"110AFTP ","Alluvium, Fluvial Terrace Deposits, and Pease River Group"
"110AHTP ","Alluvium and High Terrace Plain Deposits"
"110AHTW ","Alluvium, High Terrace Deposits, and Whitehorse Group"
"110ALRS ","Allurosa Aquifer"
"110ALTC ","Alluvium, Low Terrace and Channel Fill Deposits"
"110ALTD ","Alluvium, Low Terrace and Channel Fill Deposits, and Dune Sand"
"110ALTO ","Alluvium, Low Terrace and Channel Fill Deposits, and Ogallala Formatio"
"110ALTW ","Alluvium, Low Terrace and Channel Fill Deposits, and Whitehorse Group"
"110ALVF ","Alluvial Fan Deposits"
"110ALVM ","Quaternary Alluvium"
"110ALVMO","Alluvium, Older"
"110ALVMY","Alluvium, Younger"
"110ALVP ","Alluvial Plain Deposits"
"110ALWX ","Alluvium, Leona Formation, and Wilcox Group"
"110ARCP ","Arch Point Basalt"
"110ASCF ","Alluvium, Terrace Deposits and Seymour Formation, and Clear Creek Grou"
"110ASCR ","Alluvium, Cretaceous Rocks, and Santa Rosa Sandstone"
"110ASRR ","Alluvium, Cretaceous Rocks, Santa Rosa Sandstone, and Rustler Formatio"
"110ASSA ","Alluvium, Terrace Deposits and Seymour Formation, and San Angelo Ss."
"110ASSK ","Ashishik Basalt"
"110ATCF ","Alluvial Terrace and Channel Deposits, and Flowerpot Shale"
"110ATCO ","Alluvial Terrace and Channel Deposits, and Ogallala Formation"
"110ATCW ","Alluvial Terrace and Channel Deposits, and Whitehorse Group"
"110ATSB ","Alluvium, Terrace Deposits and Seymour Formation, and Blaine Formation"
"110ATSF ","Alluvium, Terrace Deposits and Seymour Formation, and Flowerpot Shale"
"110AUVM ","Alluvium, Quaternary (Holocene or Pleistocene, Unknown)"
"110AVBT ","Alluvium, Beach Sand and Terrace Deposits"
"110AVCC ","Alluvium and Cretaceous Rocks"
"110AVCF ","Alluvium and Clear Fork Group"
"110AVCM ","Alluvium and Cook Mountain Formation"
"110AVCP ","Alluvial Channel and Plain Deposits"
"110AVEL ","Alluvial, Eolian, and Littoral Deposits"
"110AVEV ","Alluvium and Evangeline Aquifer"
"110AVFP ","Alluvium, Flood Plain"
"110AVFV ","Alluvium and Fluviatile Terrace Deposits"
"110AVJK ","Alluvium and Jackson Group"
"110AVLA ","Alluvium, Leona Formation, and Austin Chalk"
"110AVMA ","Alluvium and Artesia Group"
"110AVMB ","Alluvium, Bolson Deposits and Other Surface Deposits"
"110AVMC ","Alluvium and Chinle Formation Equivalent"
"110AVME ","Alluvium and Edwards and Associated Limestones"
"110AVML ","Alluvium and Leona Formation"
"110AVMT ","Alluvium and Triassic System"
"110AVMW ","Alluvium and Wichita Group"
"110AVOG ","Alluvium and Ogallala Formation"
"110AVOV ","Alluvium and Oakville Sandstone"
"110AVPR ","Alluvium and Pease River Group"
"110AVPW ","Alluvial Plain Deposits and Whitehorse Group"
"110AVPX ","Alluvium and Paluxy Sand"
"110AVSR ","Alluvium and Santa Rosa Sandstone"
"110AVTC ","Alluvial Terrace and Channel Deposits"
"110AVTN ","Alluvium, Terrace, Non-Glacial"
"110AVTR ","Alluvium and Trinity Sand"
"110AVTS ","Alluvium, Terrace Deposits, and Seymour Formation"
"110AVYG ","Alluvium and Yegua Formation"
"110BCKP ","Black Point Basalt"
"110BECH ","Beach Deposits"
"110BECHM","Beach Deposits (Marine & Non-Marine), Quaternary"
"110BIBC ","Barrier Island and Beach Deposits"
"110BILD ","Barrier Island Deposits"
"110BLDR ","Buldir Volcanics"
"110BLSN ","Bolson Fill"
"110BNPR ","Bennie Peer Aquifer"
"110BRRW ","Barrow Unit, Gubik Formation"
"110BSLT ","Basalt"
"110BSPP ","Bishop Point Volcanic Mudflow"
"110CEBP ","Coastal Embayment Aquifers, Puerto Rico"
"110CEBV ","Coastal Embayment Aquifers, Virgin Islands"
"110CGJV ","Caguas-Juncos Valley Alluvial Aquifer"
"110CHCO ","Chico Phonolites"
"110CHRT ","Chariot Gravel"
"110CLAY ","Clay (Holocene and/or Pleistocene)"
"110CLDD ","Consolidated Deposits"
"110CLTN ","Clayton Basalts"
"110CLVF ","Colluvial Fan Deposits"
"110CLVM ","Colluvium"
"110CMTA ","Cimarron Terrace and Alluvial Aquifer"
"110CNJL ","Canjilon Till"
"110CNNS ","Canones Andesite"
"110COVM ","Colluvium, Quaternary (Holocene or Pleistocene, Unknown)"
"110CRCK ","Crater Creek Basalt"
"110CYVL ","Cayey Valley Alluvial Aquifer"
"110DELT ","Delta Deposit, Quaternary (Holocent or Pleistocene, Unknown)"
"110DGHD ","Dogs Head Andesites"
"110DOGL ","Dune Sand and Ogallala Formation"
"110DRML ","Drumheller Silts"
"110DSKN ","Dushkin Basalt"
"110DUNE ","Dune Sand"
"110DUNED","Dune Deposit"
"110EDRP ","Eider Point Basalt"
"110EFRT ","Elm Fork Red River Terrace Aquifer"
"110EFTA ","Elm Fork Red River Terrace & Alluvial Aquifer"
"110EGMB ","Edgecumbe Volcanics"
"110EOLI ","Eolian Deposits"
"110EOLN ","Eolian Deposits, Quaternary (Holocene or Pleistocene, Unk)"
"110EPRZ ","Esperanza Alluvial Aquifer"
"110FAN  ","Alluvial Fan, Quaternary (Holocene or Pleistocene, Unk)"
"110GCPK ","Glacier Peak Volcanics"
"110GRAV ","Gravel (Holocene and/or Pleistocene)"
"110GRCK ","Goat Rock Pyroclastic Deposits"
"110GRVL ","Gravel"
"110GTUN ","Gatuna Formation"
"110GUNC ","Guanica Alluvial Aquifer"
"110GVCL ","Gravel and Clay (Holocene and/or Pleistocene)"
"110GYNL ","Guayanilla Alluvial Aquifer"
"110HNGB ","Humacao-Naguabo Alluvial Aquifer"
"110HRDP ","Hardpan (Holocene and/or Pleistocene)"
"110JRND ","Jornadan Series"
"110KAU  ","Kau Volcanic Series, Undifferentiated"
"110KKRN ","Kokernot Formation"
"110KNTN ","Kanaton Basalts"
"110LAKE ","Lake Deposit, Quaternary (Holocene or Pleistocene, Unknown)"
"110LCSR ","Lacustrine Deposits"
"110LDLD ","Landslide, Quaternary (Holocene or Pleistocene, Unknown)"
"110LJVL ","Lajas Vallay"
"110LLMR ","Little Missouri Aquifer"
"110LLSK ","Little Sitkin Dacite"
"110LMYN ","Le Moyen Formation"
"110LOBT ","Lobato Basaltic Lavas"
"110LOSS ","Loess"
"110LPVF ","Little Pavlof Agglomerate"
"110LSVG ","Las Vegas Formation"
"110MARL ","Marl (Holocene and/or Pleistocene)"
"110MBKR ","Mount Baker Lava"
"110MDRV ","Mead River Unit of Gubik Formation"
"110MEGB ","Mount Edgecumbe Ash Bed of Forest Creek Formation"
"110MEMS ","Mount Emmons Volcanics"
"110MGRG ","Mount Griggs Volcanics"
"110MNHG ","Mount Hague Volcanics"
"110MNNS ","Monahans Formation"
"110MNRR ","Mount Rainier Lavas"
"110MNWS ","Mountain Wash"
"110MRER ","Marine & Estuarine Deposits, Quaternary"
"110MRIN ","Quaternary marine deposits"
"110MSHS ","Mount St Helens Lavas"
"110MUNB ","Maunabo Alluvial Aquifer"
"110NFDA ","North Fork Red River Dune Sand and Alluvial"
"110NFDT ","North Fork Red River Dune Sand & Terrace Aquifer"
"110NFRD ","North Fork Red River Dune Sand Aquifer"
"110NFRT ","North Fork Red River Terrace Aquifer"
"110NFTA ","North Fork Red River Terrace & Alluvial Aquifer"
"110NJCK ","New Jersey Creek Lava"
"110NRSD ","Nonartesian Sand Aquifer"
"110NRSR ","Nearshore Deposits (Marine & Non-Marine), Quaternary"
"110NTGU ","Naha and Tsegi alluvium deposits, undifferentiated"
"110OPTOD","Pediment, Terrace, and Other Deposits of Gravel, Sand, and Caliche"
"110PCHN ","Pochnoi Volcanics"
"110PDMN ","Pediment Deposits"
"110PEAT ","Peat (Holocene and/or Pleistocene)"
"110PLMS ","Palomasan Series"
"110PRPN ","Pratt Point Dacite Member, Little Sitkin Dacite"
"110PRSP ","Patterson Point Formation"
"110PTOD ","Pediment, Terrace, and Other Deposits of Gravel and Sand"
"110PTODC","Pediment, Terrace, and Other Deposits of Gravel, Sand and Caliche"
"110PUNA ","Puna Volcanic Series, Undifferentiated"
"110PVFS ","Pavlof Sisters Volcanics"
"110PVLF ","Pavlof Volcanics"
"110QODV ","Quaternary-Ordovician Systems"
"110QPLC ","Post Miocene (Quaternary + Pliocene) Rocks"
"110QRCU ","Quaternary - Cretaceous Undifferentiated"
"110QRNR ","Quaternary System"
"110QRRT ","Quaternary-Tertiary Systems"
"110RCBV ","Rio Culebrinas Valley Aquifer"
"110RDBL ","Ready Bullion Formation"
"110RDHD ","Round Head Basalts"
"110RDMN ","Red Mountain Dacites"
"110RGAV ","Rio Grande De Anasco Valley Alluvial Aquifer"
"110RGJV ","Rio Guanajibo Valley Aquifer"
"110RRTA ","Red River Terrace and Alluvial Aquifer"
"110RRVT ","Red River Terrace Aquifer"
"110RSRD ","Rio Espiritu Santo To Rio Demajagua Alluvial Valley Aquifers"
"110RYZV ","Rio Yaguez Valley Alluvial Aquifer"
"110SAGR ","Sand and Gravel Deposits, Undifferentiated"
"110SAND ","Sand"
"110SANDP","Sand (Holocene and/or Pleistocene)"
"110SAQS ","Surficial Aquifer System"
"110SCLR ","Santa Clara Pumice Bed"
"110SCPL ","South Coastal Plain Alluvial Aquifer"
"110SDCL ","Sand Clay (Holocene and/or Pleistocene)"
"110SDGV ","Sand and Gravel"
"110SDGVP","Sand and Gravel (Holocene and/or Pleistocene)"
"110SDMN ","Sediments, Undifferentiated, Quaternary"
"110SDMS ","Sediments"
"110SFCL ","Surficial Aquifer"
"110SFRT ","Salt Fork Red River Terrace Aquifer"
"110SFTA ","Salt Fork Red River Terrace & Alluvial Aquifer"
"110SGLF ","Sugarloaf Lava Flows"
"110SGVC ","Sand, Gravel, and Clay (Holocene and/or Pleistocene)"
"110SILT ","Silt (Holocene and/or Pleistocene)"
"110SKCF ","Skull Cliff Unit, Gubik Formation"
"110SKNP ","Sitkin Point Formation"
"110SKRV ","Snake River Group"
"110SLGL ","Slagle Trachyte"
"110SOIL ","Soil, Quaternary (Holocene or Pleistocene, Unknown)"
"110SPRL ","Saprolite"
"110STEP ","South Texas Eolian Plain Deposits"
"110TBLC ","Terra Blanca Formation"
"110TLLB ","Tallaboa Alluvial Aquifer"
"110TLUS ","Talus, Quaternary (Holocene or Pleistocene, Unknown)"
"110TLVK ","Tlevak Basalt"
"110TRCS ","Terrace Deposits, Undifferentiated"
"110TRKM ","Turkey Mountain Andesite"
"110TRRC ","Terrace Deposits"
"110TRRCL","Terrace, Low, Deposits"
"110TRVN ","Travertine"
"110TURT ","Tuerto Gravel of Santa Fe Group"
"110UCDD ","Unconsolidated Deposits"
"110UVRS ","University Beds"
"110VLCB ","Volcano Bay Basalt Flow of Mount Hague Volcanics"
"110VLCC ","Volcanic Rocks"
"110VLCT ","Vallecito Basalt"
"110VLFL ","Valley Fill"
"110VLTR ","Valley Train Deposits"
"110WDBS ","Windblown Sand Deposits, Undifferentiated"
"110WRGL ","Wrangell Lava"
"110WSCV ","West Cove Member, Little Sitkin Dacite"
"110YBCV ","Yabucoa Valley Alluvial Aquifer"
"110YCVL ","Yauco Valley Alluvial Aquifer"
"110YLMR ","Yellowstone-Missouri Aquifer"
"1110008 ","80-foot Gravel"
"111A    ","A-Clay"
"111ABZR ","Alluvium, Brazos River"
"111ADMS ","Adams Formation"
"111AFCF ","Artificial Fill"
"111AGHC ","Alluvial Deposits, Glen Rose Limestone, Hensell and Cow Creek Members"
"111ALCR ","Alluvium of the Coast Range (Pliocene-Holocene)"
"111ALCRY","Alluvium of the Coast Range, Younger (Pleistocene-Holocene)"
"111ALFP ","Alluvium, Flood Plain"
"111ALVD ","Alluvium and Landslide Deposits, Unconsolidated"
"111ALVF ","Alluvial Fan Deposits"
"111ALVFY","Alluvial-Fan Deposits, Younger"
"111ALVL ","Alluvial Deposits"
"111ALVM ","Holocene Alluvium"
"111ALVMO","Alluvium, Older"
"111ALVMY","Alluvium, Younger"
"111ALVT ","Alluvial and Talus Deposits"
"111AMOT ","Alluvium Along Mississippi River and Ohio River Tributary Streams"
"111ATSE ","Alluvium of the Tehachapi and San Emigdio Mountains"
"111ATSEY","Alluvium of the Tehachapi and San Emigdio Mts, Younger (Plei-Holo)"
"111AUNU ","Aunuu Tuff"
"111AVBD ","Alluvium, Beach and Dune Sand"
"111AVCR ","Alluvium, Colorado River"
"111AVFP ","Alluvium, Flood Plain"
"111AVLD ","Alluvial and Landslide Deposits, Unconsolidated"
"111AVMC ","Alluvium, Coastal"
"111AVMT ","Alluvium and Terrace Deposits"
"111AVMV ","Alluvium, Valley"
"111AVSN ","Alluvium of the Sierra Nevada"
"111AVSNY","Alluvium of the Sierra Nevada, Younger (Pleistocene-Holocene)"
"111B    ","B-Clay (Holocene-Pleistocene)"
"111BBTM ","Bay-Bottom Deposits"
"111BECH ","Beach Deposits"
"111BECHM","Beach Deposits, Marine & Non-Marine, Holocene"
"111BERG ","Berg Formation"
"111BKRP ","Black Rapids Drift"
"111BRRR ","Barrier Sand"
"111BRRV ","Boyer River Alluvial Aquifer"
"111BRVT ","Boyer River Terrace Aquifer"
"111BTVL ","Butte Valley Basalt"
"111BVRB ","Beaver Basin Formation (Holocene-Pleistocene)"
"111CDBC ","Coastal Dune and Beach Deposits"
"111CHEN ","Chena Alluvium"
"111CLCK ","Clear Creek Drift"
"111CLVM ","Colluvium"
"111CLWD ","Colwood Formation"
"111CNNL ","Channel Deposits"
"111CNTL ","Holocene continental deposits"
"111CPLN ","Capulin Basalts"
"111CPSP ","Cypress Swamp Formation"
"111CRLB ","Carolina Bay Deposits"
"111CRMS ","Covered/Reclaimed Mine Spoil"
"111CRMSA","Covered/Reclaimed Mine Spoil and Ash"
"111CRQU ","Cirque Drift"
"111CRZZ ","Carrizozo Lava Flow"
"111CSRB ","Calcareous Sand and Rubble Deposits"
"111CSTL ","Coastal Deposits"
"111D    ","D-Clay (Holocene-Pleistocene)"
"111DBLP ","Double Point Dacite"
"111DDGP ","Dredge Pilings"
"111DELT ","Delta Deposit, Holocene"
"111DLTCY","Deltaic Deposits, Younger"
"111DMMP ","Dismal Swamp Peat"
"111DUNC ","Dune Sand, Calcareous, Unconsolidated"
"111DUNE ","Dune Sand"
"111DUNED","Dune Deposits"
"111DUNES","Dunes, Holocene"
"111DUNN ","Dune Sand, Noncalcareous, Unconsolidated"
"111EFRR ","Elm Fork Red River Alluvial Aquifer"
"111ELCR ","Electron Mudflow"
"111EMGL ","Emerged Limesands"
"111ENGR ","Engineer Loess"
"111ENRV ","East Nishnabotna River Alluvial Aquifer"
"111EOLN ","Eolian Deposits"
"111FAN  ","Alluvial Fan, Holocene"
"111FILL ","Fill"
"111FLDB ","Flood-Basin Deposits"
"111FLDP ","Flood-Plain Deposits"
"111FNMN ","Fan Mountain Drift"
"111FPTC ","Flood-Plain and Terrace Deposits"
"111FRBK ","Fairbanks Loess"
"111FRCK ","Forest Creek Formation"
"111FVDP ","Fluvial Deposits"
"111FVGC ","Fluvioglacial Deposits"
"111FXHL ","Fox Hill Flow"
"111GLCB ","Glacier Bay Till"
"111GLDB ","Gold Basin Formation"
"111GMRC ","Gamerco Formation"
"111GOB  ","Gob Pile"
"111GSPR ","Gaspur Water-Bearing Zone"
"111GVLB ","Gravel-Bar Deposits"
"111HCPC ","Holocene-Pleistocene Series"
"111HLCN ","Holocene Series"
"111HPPA ","Holocene, Pleistocene, and Pliocene? Alluvial Deposits"
"111HPPM ","Undifferentiated Holocene, Pleistocene, Pliocene, and Miocene"
"111HTML ","Hydrothermal Deposits"
"111HULLH","Hualalai Volcanic Series, Historic Volcanic Rocks"
"111HV75 ","Historic Volcanic Rocks (Lava Flows of 1750?)"
"111IGLD ","Ingleside Formation"
"111ISPG ","Ice Springs Craters Flow"
"111JRVS ","Jarvis Ash Bed of Engineer Loess"
"111KMRV ","Katmai River Tuff Flow"
"111KUAV ","Kau Volcanic Series, Historic Volcanic Rocks"
"111KYCE ","Kaycee Formation"
"111LAKE ","Lake Deposits"
"111LBKP ","Little Black Peak Basalt Flow"
"111LCRM ","Lacustrine and Marsh Deposits (Holocene-Pliocene)"
"111LCTN ","Lacustrine Deposits"
"111LDLD ","Landslide Deposits"
"111LDSD ","Landslide, Holocene"
"111LEON ","Leone Volcanics, Undifferentiated"
"111LGNG ","Lighting Formation"
"111LKBP ","Lakebeds and Playa Deposits"
"111LKFL ","Lake Flirt Marl"
"111LKFR ","Lake Michigan Formation-Lake Forest Member"
"111LKMG ","Lake Michigan Formation"
"111LKUC ","Lake Deposit, Unconsolidated Calcareous Sand"
"111LLND ","Lowland Deposits"
"111LNAS ","Leone Volcanics, Ash Deposits"
"111LNCC ","Leone Volcanics, Cinder Cones"
"111LNLF ","Leone Volcanics, Lava Flows"
"111LNTF ","Leone Volcanics, Tuff Deposits"
"111LOSS ","Loess"
"111LPHHU","Laupahoehoe Volcanic Series, Lava Flows and Cinder of Upper Member"
"111LSJM ","Lost Jim Lava Flow"
"111LSRD ","Little Sioux River Alluvial Aquifer and Dakota Aquifer"
"111LSXR ","Little Sioux River Alluvial Aquifer"
"111LTAV ","Low Terrace Deposits, Alluvium"
"111LTAVP","Low Terrace Deposits and Alluvium"
"111MAZM ","Mazama Pumice"
"111MCCR ","Mc Cartys Basalt Flow"
"111MCLR ","Mescalero Sands"
"111MJRV ","Mojave River Channel Deposits"
"111MPRV ","Maple River Alluvial Aquifer"
"111MRER ","Marine & Estuarine Deposits, Holocene"
"111MRIN ","Marine Deposits"
"111MRMN ","Mermentau Member of Le Moyen Formation"
"111MRNL ","Morainal Deposits"
"111MRRP ","Middle Raccoon River Alluvial Aquifer and Pleistocene Aquifer"
"111MRRV ","Middle Raccoon River Alluvial Aquifer"
"111MRSD ","Marine Sand"
"111MRSH ","Marsh Deposits"
"111MRVT ","Maple River Terrace Aquifer"
"111MRZO ","Merizo Limestone"
"111MSOV ","Mined and Subsided Overburden"
"111MTLG ","Mine Tailings"
"111MTRD ","Mount Trident Andesite"
"111MUIR ","Muir Till"
"111NCRV ","Nueces River Alluvium"
"111NFRR ","North Fork Red River Alluvial Aquifer"
"111NKBT ","Nakaibito Formation"
"111NLLV ","Natural Levee Deposits"
"111NLMR ","Natural Levee Deposits of Mississippi River"
"111NORLC","New Orleans Aquifer System Surficial Confining Unit"
"111NRRT ","North Raccoon River Terrace Aquifer"
"111NRRV ","North Raccoon River Alluvial Aquifer"
"111NRSD ","Nonartesian Sand Aquifer"
"111NRSR ","Nearshore Deposits (Marine & Non-Marine), Holocene"
"111OFTF ","Ofu Volcanic Rocks, Tuff Deposits"
"111OKMK ","Okmok Volcanics"
"111OSCL ","Osceola Mudflow"
"111PCRV ","Pecos River Alluvium"
"111PDMN ","Pediment Deposits"
"111PLAY ","Playa Deposits"
"111PLCV ","Plutos Cave Basalt"
"111PLLU ","Peleliu Limestone"
"111PNBR ","Point-Bar Deposits"
"111PNCCH","Puna Volcanic Series, Historic Cinder Cones"
"111PNLCH","Puna Volcanic Series, Historic Littoral Cones"
"111PNLFH","Puna Volcanic Series, Historic Lava Flows"
"111RCNT ","Recent Stage"
"111RCOV ","Reclaimed Cast Overburden"
"111RDRV ","Red River Alluvium"
"111RGLT ","Regolith"
"111RGRD ","Rio Grande Alluvium"
"111RRVA ","Red River Alluvial Aquifer"
"111RSDM ","Residuum"
"111RVCL ","River Channel Deposits"
"111RVIN ","Lake Michigan Formation-Ravinia Sand Member"
"111RVTC ","River Terrace Deposits"
"111SANDD","Sand Deposits"
"111SANDE","Sand Deposits (Elevated or Inland From Present Beaches)"
"111SDLK ","Sand, Lakeshore Deposits"
"111SDMN ","Sediments, Undifferentiated"
"111SDRV ","Soldier River Alluvial Aquifer"
"111SFRR ","Salt Fork Red River Alluvial Aquifer"
"111SLMR ","Salt-Marsh Deposits"
"111SLNO ","Shallow Aquifers of New Orleans Area"
"111SLPN ","Salt Pan"
"111SLRV ","Seal River Formation"
"111SNDD ","Sand Dune Deposits"
"111SNTR ","Sinter Deposits"
"111SOIL ","Soil"
"111SPBK ","Spoil Banks"
"111SPIT ","Spit Deposits"
"111SPOL ","Holocene Spoil"
"111SPRL ","Saprolite"
"111SRFD ","Stratified Deposits, Undifferentiated"
"111SRLN ","Shoreline Deposits"
"111SRRD ","South Raccoon River Terrace Aquifer and Dakota Aquifer"
"111SRRV ","South Raccoon River Alluvial Aquifer"
"111STGV ","Stream and Terrace Gravel"
"111SWMP ","Swamp Deposits"
"111SWSP ","Salt-Water Swamp Deposits"
"111TDLM ","Tidal Marsh Deposits"
"111TERC ","Terrace Deposits, Undifferentiated"
"111TLBR ","Talbert Water-Bearing Zone"
"111TLME ","Terrace Deposits, Lower, Marine and Estuarine"
"111TLUS ","Talus, Holocene"
"111TNNL ","Tunnel Drift"
"111TRRC ","Terrace Deposits"
"111TRRCY","Terrace Gravel, Younger"
"111TRRV ","Trinity River Alluvium"
"111TRVN ","Travertine"
"111TSMN ","Tustumena Drift"
"111TUFF ","Tuffa Deposits"
"111TULF ","Tua Volcanic Rocks, Lava Flows"
"111TUTF ","Tua Volcanic Rocks, Tuff Deposits"
"111UCCD ","Unconsolidated Calcareous Dune Sand"
"111UCOV ","Unreclaimed Cast Overburden"
"111UCRS ","Ucross Formation"
"111UPBG ","Upland Bog Deposits"
"111UPLD ","Upland Deposits"
"111VHGC ","Volcanic Rocks of High Cascades"
"111VLAV ","Valley Alluvium"
"111VLFL ","Valley-Fill Deposits"
"111WKGN ","Lake Michigan Formation-Waukegan Member"
"111WLBR ","Wilbur Ash Bed of Engineer Loess"
"111WNRV ","West Nishnabotna River Alluvial Aquifer"
"111WNTK ","Lake Michigan Formation-Winnetka Member"
"111WRVR ","White River Ash Bed of Engineer Loess"
"111WSKN ","Whiskeytown Unconsolidated Deposits"
"111ZNCN ","Zuni Canyon Basalt Flow"
"11202LC ","200-foot Sand of Lake Charles Area"
"11202NO ","200-foot Sand of New Orleans Area"
"11204BR ","400-foot Sand of Baton Rouge Area"
"11204NO ","400-foot Sand of New Orleans Area"
"11205BR ","400- and 600-ft Sands of Baton Rouge Area"
"11205LC ","500-foot Sand of Lake Charles Area"
"11206BR ","600-foot Sand of Baton Rouge Area"
"11207BR ","600 and 800 Foot Sands of Baton Rouge Area"
"11207LC ","700-foot Sand of Lake Charles Area"
"11207NO ","700-foot Sand of New Orleans Area"
"11212NO ","1200-foot Sand of New Orleans Area"
"11220CL ","20-foot Clay"
"112ABLN ","Ablation Till, Pleistocene"
"112ABVL ","Abbeville Aquifer, Pleistocene Age"
"112ACFL ","Atchafalaya Aquifer"
"112ACSN ","Atchison Formation"
"112ADGK ","Adagdak Volcanics"
"112ADML ","Admiralty Drift or Clay"
"112ADRN ","Adrian Aquifer"
"112ADSCP","Andesitic Lava"
"112ADZC ","Adaza Channel Aquifer"
"112AFIG ","Aftonian Interglacial Deposits"
"112AFNN ","Aftonian Stage"
"112AFON ","Afono Trachyte"
"112AFTN ","Afton Soil"
